tweet_id,keyword,text,created_at,user_id,username,name,followers,verified,likes,retweets,replies,hashtags,media_count,media_info,is_reply,is_retweet
2017832363313463715,timeline,RT @newsscardi: Cardi B for SNL. 😍😍 https://t.co/nLRdn2w7GJ,Sun Feb 01 05:28:19 +0000 2026,866953267,,Cardi B,37093310,False,0,329,0,,1,"[{""type"": ""photo"", ""url"": ""https://t.co/nLRdn2w7GJ""}]",False,True
2017738415907692589,timeline,RT @BardiGangUpdate: Cardi B &amp; Marcello Hernández at NBC studios 😭 https://t.co/MrX79Z8sMO,Sat Jan 31 23:15:00 +0000 2026,866953267,,Cardi B,37093310,False,0,1511,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/MrX79Z8sMO""}]",False,True
2017061228149969101,timeline,"RT @itsKenBarbie: ONLY TWO TICKETS to ONE person ..Tickets are selling. No hundreds of free tickets, no trivia games, no price cuts… Thank…",Fri Jan 30 02:24:06 +0000 2026,866953267,,Cardi B,37093310,False,0,327,0,,0,[],False,True
2017033323571273928,timeline,"RT @nbcsnl: THIS SATURDAY!
Alexander Skarsgård!
@iamcardib! https://t.co/cpKBC4wO4J",Fri Jan 30 00:33:13 +0000 2026,866953267,,Cardi B,37093310,False,0,1105,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/cpKBC4wO4J""}]",False,True
2016346106834387246,timeline,😂😂,Wed Jan 28 03:02:28 +0000 2026,866953267,,Cardi B,37093310,False,32843,1849,408,,0,[],False,False
2016274761991520512,timeline,"RT @BardiUpdatess: Cardi B looking gorgeous today via Instagram. 😍 

https://t.co/LIbXERBD0K",Tue Jan 27 22:18:58 +0000 2026,866953267,,Cardi B,37093310,False,0,825,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/LIbXERBD0K""}]",False,True
2015909070725669201,timeline,"RT @itsKenBarbie: GAME TIME! 😤 The Little Miss Drama tour is just two weeks away! 

Which songs are you hoping to hear live? https://t.co/W…",Mon Jan 26 22:05:50 +0000 2026,866953267,,Cardi B,37093310,False,0,366,0,,0,[],False,True
2015635700251541963,timeline,Them boys work hard!!!! LETS GO PATSNATION❤️🤍💙 we stepping in the name of the Lord!! https://t.co/RV184kGKlL,Mon Jan 26 03:59:34 +0000 2026,866953267,,Cardi B,37093310,False,10278,861,365,,1,"[{""type"": ""video"", ""url"": ""https://t.co/RV184kGKlL""}]",False,False
2015568242098495765,timeline,"RT @NFL: ""WE'RE GOING TO THE SUPER BOWL!"" - @iamcardib https://t.co/B6ZWNH0trm",Sun Jan 25 23:31:31 +0000 2026,866953267,,Cardi B,37093310,False,0,2414,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/B6ZWNH0trm""}]",False,False
2015566436941328402,timeline,RT @itsKenBarbie: Walking into the winner’s circle like 🙂‍↕️ 🏈 https://t.co/lJqCKtqqtK,Sun Jan 25 23:24:20 +0000 2026,866953267,,Cardi B,37093310,False,0,761,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/lJqCKtqqtK""}]",False,True
